Timestamp,In Game Name,Discord or Facebook Name,Friend Code Only (Copy/Paste from in game),What areas do you primarily play in?,Team
12/29/2018 8:44:35,HammerStarkid,Sharon Hammer,2961 2001 2381,"Mad Far West, Fitchburg, Middleton, Verona",Instinct
6/26/2018 17:34:07,HangryMankey,Julia Matthews,2223 4352 0031,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad South, Mad Near West, Monona",Mystic
12/29/2018 16:16:15,hannerjf,Hannah Farnham,4502 1292 8688,"Mad Campus, Mad Isthmus, Mad Far West, Mad Near West, Fitchburg, Middleton, Verona",Instinct
12/12/2018 19:44:18,Harleyeevee,haochen.shi.108,1086 0742 3940,Mad Campus,Valor
8/21/2018 10:38:05,HarryDresden85,HarryDresden85,8414 9220 5313,Oregon,Valor
9/23/2018 19:33:19,HazelGoodKitty,HazelGoodKitty,9866 8124 2175,"Mad Campus, Mad Isthmus, Middleton",Mystic
10/1/2018 14:28:44,hchang971,hchang971,963331684992,"Mad Campus, Mad Isthmus, Epic, Fitchburg, Verona",Instinct
12/24/2018 9:01:47,Heather Bundy,Maritumi,6676 8113 1266,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad North, Mad South, Mad Far West, Mad Near West, Fitchburg, Monona",Mystic
6/27/2018 17:10:33,Heatherissohxc,HeatherCWaller,5471 9965 0702,"Mad Campus, Mad Isthmus, Mad Far West, Mad Near West, Middleton, Verona, Waunakee",Valor
9/5/2018 18:43:43,heidijpink99,Heidijpink,8871 2648 7436,"Mad Far West, Mad Near West",Mystic
7/15/2018 1:47:21,Herron6,Herron6,8085 4318 9909,"Mad Campus, Mad Far West, Mad Near West",Valor
7/16/2018 12:13:52,heyluke17,luke300,4547 7857 4721,"Sun Prairie, Marshall",Valor
12/28/2018 15:30:13,Hhabs97,Hannah Haberkorn,8628 0600 1686,"Mad Campus, Mad Far West, Middleton",Mystic
6/29/2018 8:57:04,hibbics,hibbics,4030 9422 7595,"Mad South, Fitchburg, Verona",Mystic
2/14/2019 20:21:43,HIITGirl72,HIITGirl72,7605 2928 6617,"Fitchburg, Verona",Instinct
11/10/2018 21:16:19,Hinowashi,Hinowashi,6134 4728 1911,"Mad Campus, Mad Isthmus",Valor
4/13/2019 8:36:11,Hinowashi,Hinowashi,6134 4728 1911,"Mad Campus, Mad Isthmus",Valor
6/26/2018 17:37:39,hockeymom036,Nicole Hankins,9950 1355 6423,Cambridge/Deerfield,Instinct
3/25/2019 18:20:23,HOFbowler299789,HOFBowler,6150 5643 3764,Fitchburg,Instinct
6/26/2018 23:09:28,Hollywood543,Hollywood543,6772 7350 4290,"Mad Far West, Mad Near West, Middleton, Verona",Mystic
12/31/2018 23:20:01,hoodiemonster,hoodiemonster,990126775315,"Fitchburg, Middleton",Mystic
8/21/2018 12:15:07,Horiatius,Job G. ,0859 2869 7647,"Mad Campus, Mad North",Mystic
11/18/2018 7:55:24,HorizontalBob,HorizontalBob#0635,7922 1022 5752,Sun Prairie,Instinct
1/15/2019 19:08:39,HorizontalBob,HorizontalBob#0635,7922 1022 5752,"Mad North East, Mad North, Sun Prairie",Instinct
8/22/2018 11:46:38,HuffleTuff512,HuffleTuff512,1116 9850 1680,Epic,Valor
10/24/2018 19:41:29,Hyphoderma,Hyphoderma,3229 0549 4921,Mad Near West,Mystic
12/28/2018 23:31:46,HypnosProjectHQ,HypnosProjectHQ,743959548412,"Mad Isthmus, Mad Far East, Mad Near East, Mad North, Mad South, Fitchburg, Monona",Mystic
9/9/2018 7:54:31,Hypnoticrae,Val mcclain,6676 0374 1148,"Mad Far West, Epic, Fitchburg, Verona",Valor
6/26/2018 18:34:35,TheGhoulNxtD00r,Carly Robaidek ,3613 9889 4919,"Fitchburg, Oregon",Valor
6/29/2018 17:23:48,ideasoflight,ideasoflight,3306 9786 6451,"Mad Isthmus, Mad Far East, Mad Near East, Mad North",Valor
10/21/2018 11:08:29,IdolLies,Idol_Lies,1093 0002 1883,"Mad Campus, Fitchburg",Mystic
8/20/2018 20:38:56,Ignign0kt,Ignign0kt,1516 5685 8224,"Mad Campus, Mad South, Oregon",Mystic
7/15/2018 7:32:32,IHaveAGizmo,IHaveAGizmo,2624 3174 3325,"Mad Isthmus, Mad Far East, Mad Near East, Monona",Instinct
11/18/2018 23:22:44,Iheartcold ,Iheartcold ,3247 9878 4354,"Mad Far East, DeForest / Windsor",Valor
8/26/2018 12:08:46,IheartGizmoDog,Kimberly Suskey,7820 8085 9950,"Mad Isthmus, Mad Far East, Mad Near East, Monona",Valor
4/12/2019 8:51:46,IJumpBears,Ian Brewer,9575 4691 3984,"Mad Near West, Epic, Fitchburg",Instinct
7/20/2018 7:28:34,Imanslyman,Imanslyman,0956 6761 1419,"Mad Near East, Mad North East, Mad North, DeForest / Windsor",Instinct
8/20/2018 16:50:43,Imusinghaunter,Matt johnson,257561809425,Mad Far West,Valor
10/4/2018 23:06:30,in7o,in7o,7114 7226 5354,"Mad Isthmus, Mad Far West, Mad Near West, Middleton",Instinct
8/20/2018 18:49:13,Inniebee,India De Maio,0270 2365 8102,"Mad Campus, Mad Isthmus, Mad Near West",Mystic
8/20/2018 18:21:05,ionicScorch,SunnyJugs,5401 4005 1174,"Mad Near East, Mad North East, Mad North, Mad South, Mad Far West, Mad Near West, Cottage Grove, Fitchburg, McFarland, Middleton, Monona",Mystic
9/23/2018 16:23:36,Ipocalypse,Ipocalypse,7563 3554 8991,"Mad Near West, Fitchburg, Middleton, Verona",Mystic
4/15/2019 16:54:01,Irezumidragons,Irezumidragons,2252 1025 9394,"Mad Campus, Mad Isthmus",Valor
6/27/2018 15:53:15,IshtarAsherah,Nilajah Hardin,1997 8702 0618,"Mad Campus, Mad Isthmus, Mad Near East, Mad Near West, Sun Prairie",Instinct
2/25/2019 17:16:19,Itsasm,Itsasm,1243 8075 2083,"Mad South, Mad Far West, Mad Near West, Fitchburg, McFarland, Middleton, Verona",Mystic
8/28/2018 12:52:11,ItsSuperLit420,red_baron,855843112040,,Mystic
8/21/2018 21:53:53,Jajunk,Mike Wolter,6513 8337 0340,"Mad Campus, Mad Isthmus",Valor
9/13/2018 15:37:46,JAKPlague,JAK Plague ,2128 1757 8282,Mad Campus,Instinct
9/21/2018 19:25:40,Jamen88,Jamen,3209 4952 1048,"Mad Far East, Mad Near East",Valor
9/5/2018 8:13:46,JangChapa ,Pchang,2837 2180 8476,"Mad Campus, Mad Isthmus",Mystic
9/2/2018 18:11:35,JDubs1813,Okanta,2504 1172 2933,"Mad Far West, Middleton",Instinct
6/26/2018 21:52:18,JEBYKA,JEBYKA OR Jessyka,4287 2640 1688,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad North, Mad South, Monona",Valor
7/30/2018 20:35:47,JeJoRoSi,Jess Simm,8137 1849 1155,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad Far West, Cottage Grove, Monona",Valor
9/20/2018 11:43:49,jeshicka,jeshicka,613400992437,"Mad Campus, Mad Isthmus, Mad Near East",Mystic
12/18/2018 22:49:35,jingyuhehe,jingyuhehe,1308 5222 5132,Mad Campus,Mystic
12/18/2018 22:50:58,jingyuhehe,jingyuhehe,1308 5222 5132,Mad Campus,Mystic
8/26/2018 20:14:36,jjl2357,jjl2357,5284 6428 3564,"Epic, Verona",Mystic
7/11/2018 19:11:06,JKWonderMuse ,Jasmin Kalies,5806 3141 8047,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad North, Mad South, Mad Far West, Mad Near West, Fitchburg, Middleton, Monona, Sun Prairie",Instinct
11/4/2018 17:35:00,jleverin,SirSquishie#1606,3662 8870 2767,"Epic, Mt. Horeb",Mystic
4/14/2019 16:16:16,jlog505210,Joshua Logsdon,505998435132,"Mad Campus, Mad Far East, Mad Near East",Valor
12/2/2018 12:03:08,jlonetree,jlonetree,7087 4925 0019,"Mad Near West, Middleton",Valor
6/26/2018 21:13:08,joehecht,joehecht,579106794238,"Mad Campus, Mad Isthmus, Mad Near West, Fitchburg",Mystic
9/2/2018 16:05:29,Joemikser,Dorit,8958 8633 1788,"Mad Campus, Mad Isthmus",Mystic
12/29/2018 12:03:47,JohnnyEastside,Jonathon Vinje-Shields,0230 8962 2500,"Mad Near East, Mad North East, Stoughton, Waunakee",Valor
8/25/2018 20:02:41,JohtoGray,JohtoGray,28800758417,Mad Near West,Instinct
10/28/2018 2:00:46,Joice0707,Joice,4725 1211 9738,"Mad Isthmus, Mad Far West, Middleton",Instinct
9/1/2018 11:00:31,jschneid98,Baymus,6811 4038 7472,Epic,Valor
9/1/2018 19:53:07,JSeef23,JSeef23,6544 9439 9639,Epic,Instinct
8/25/2018 21:52:58,JTway627,JTway627,8919 2434 7829,"Mad South, Fitchburg, Middleton, Downtown Madison",Instinct
12/3/2018 14:05:18,Juliajean17,Juliajean17,8111 3648 4187,"Mad Campus, Mad Isthmus, Mad Near West",Valor
8/25/2018 17:45:51,JumpingGerbils,gerbilFuzz,9302 0365 8221,"Epic, Middleton, Verona, Waunakee",Mystic
9/28/2018 12:31:43,Jupe42,Jupe42,4890 6701 6890,"Mad Far West, Mad Near West",Mystic
9/29/2018 23:25:42,Jyoooza,Jyoooza,536794002038,"Epic, Fitchburg",Mystic
11/8/2018 17:47:10,K0jtx1v,Kojtxiv,8763 7922 8709,"Middleton, Sauk city",Valor
8/30/2018 11:18:19,KalistaKMG,KalistaKMG,7497 6114 4365,"Mad South, Mad Far West, Fitchburg, Middleton",Mystic
3/24/2019 14:07:03,kanyeh,derek#4991,027077788871,"Mad Campus, Mad South, Mad Far West, Mad Near West, Fitchburg",Mystic
4/6/2019 11:51:33,Karlimurr,Drainscum,0287 6909 8756,"Mad Far West, Mad Near West, Verona",Valor
9/10/2018 8:38:14,KatelLatel,KatelLatel,1739 9522 0445,"Mad Campus, Mad Isthmus",Valor
7/30/2018 20:37:08,KatEndless,Katie Ashley,4736 9949 1533,"Mad Campus, Mad Isthmus, Mad Near East, Mad North East, Mad North",Mystic
4/9/2019 16:15:40,Kaydoh,Kaydoh16,8183 4890 5322,"Mad Campus, Mad South",Mystic
8/20/2018 17:53:46,Kelnoth,Kelnoth,3750 0563 3365,"Mad South, Fitchburg",Valor
7/21/2018 22:27:55,Kernal1121,Kirk Sanders,681588998378,"Mad Campus, Mad Isthmus, Mad Near East, Mad North East, Mad North, Mad Near West",Valor
12/28/2018 13:19:39,kiadarling,kiadarling,3455 1517 2230,"Mad Campus, Mad Far West, Mad Near West, Fitchburg, Middleton",Mystic
1/2/2019 13:08:19,kiadarling,Kia Darling,3455 1517 2230,"Mad Campus, Mad Far West, Mad Near West, Fitchburg, Middleton, Verona",Mystic
10/5/2018 23:04:52,killcpm,killcpm,8078 2243 7656,"Mad Isthmus, Mad Near East, Mad North East, Mad North",Valor
7/20/2018 11:29:30,kilray,Kilray#9441,174438280446,"Mad Campus, Mad Isthmus, Mad Far East, Sun Prairie",Valor
7/10/2018 16:42:13,KimchiPotato,KimchiPotato17,2534 3742 5990,"Mad Campus, Mad Isthmus, Mad Near East, Mad South, Mad Near West, Monona",Mystic
2/8/2019 21:00:40,KingShrow,KingShrow,075887716941,"Mad Campus, Mad Near West",Mystic
8/20/2018 18:24:31,KingswordmnZoro,Jose Mendez,776662720689,"Mad Campus, Mad Isthmus, Mad South, Mad Near West, Fitchburg",Instinct
7/1/2018 10:37:55,KMfnO,Koemig,4596 4029 9837,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad South, Mad Near West, Cottage Grove, Fitchburg, McFarland, Monona, Mt. Horeb, Oregon, Stoughton, Sun Prairie, Verona",Valor
9/15/2018 16:44:26,Kookiekittie,Kookiekittie,9740 0503 3168,Stoughton,Instinct
1/17/2019 10:09:27,Kooyahnow13 ,Rex187 ,9532 6217 2818,"Mad Near West, Fitchburg, Middleton, Verona",Valor
7/14/2018 16:06:39,kungfuhippie,kungfuhippie,670143899536,"Mad Far West, Mad Near West, Middleton, Verona",Mystic
8/22/2018 13:41:42,Kyrelov,Kyrelov,3118 8656 5016,"Mad Campus, Mad Near West",Mystic
7/30/2018 4:19:36,Kyrfox,Fyren,7626 5182 7639,"Mad Far West, Middleton",Valor
9/29/2018 0:24:10,L00NTERN,Loontern,7176 1413 1835,"Mad Campus, Verona",Instinct
8/24/2018 17:16:33,Laboky,Laboky,6310 1165 5557,"Epic, Oregon",Mystic
12/28/2018 16:09:50,Ladyboosington,Ladyboosington/Nathalie Anne,067753352872,"Mad Far West, McFarland, Middleton, Verona",Mystic
10/9/2018 13:33:17,LadyDelenAnosa,Kimlongewing,2802 0272 7402,Fitchburg,Mystic
7/3/2018 11:45:19,Ladypower48b,None,841777029696,"Mad Isthmus, Mad Near East, Mad North East, Mad North",Mystic
6/27/2018 15:34:58,Lamplightenvoy,Lamplightenvoy,936 12364 1216,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East",Instinct
2/8/2019 16:03:15,LarenVoth,LarenVoth,9528 9365 7273,"Mad Campus, St. Paul during weekdays for work",Valor
8/25/2018 20:06:01,Laryethan,Laryethanphone,5812 0287 0917,Stoughton,Instinct
6/26/2018 22:11:42,Laseracid,Laseracid,2977 1845 8266,"Janesville, Lake Geneva ",Mystic
7/8/2018 12:11:58,Ledyba Meowth,Lydia Maurer,1996 9907 5724,"Mad Campus, Mad Isthmus, Mad Near East, Mad North East, Mad North",Valor
8/4/2018 21:46:50,legojudevader,selectivemadcop,3896 6159 7094,Oregon,Mystic
7/22/2018 19:25:58,LemmingOnTheRun,Captain Black,0168 8495 8076,"Epic, Fitchburg, Verona",Mystic
6/26/2018 20:53:08,LeonardBoys3,JD Leonard,5311 2634 0078,"Mad Far East, Mad North East, Waukesha",Instinct
12/7/2018 19:25:42,LeoTrex301,LeoTrex,2287 5961 3446,"Mad North East, Sun Prairie",Valor
12/3/2018 10:14:11,Lightarces,Taz,1976 5655 5210,Mad Campus,Mystic
6/29/2018 6:52:06,LightSabr15,LightSabr!,5299 7844 2689,"Mad Isthmus, Mad Near East, Waunakee",Instinct
12/28/2018 18:10:37,lilian49,liz crawley,5825 4035 4349,"Monona, Sun Prairie",Valor
6/26/2018 16:44:29,Lillyana1981,Lillyana1981,9027 6848 7764,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Monona",Mystic
10/21/2018 18:19:05,Lillyana1981,Lillyana1981,9027 6848 7764,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Monona",Mystic
3/14/2019 1:32:40,lilyaoster,Yaoster72,4163 7528 5906,"Mad Campus, Mad Isthmus",Mystic
7/1/2018 11:01:59,lireavue,lireavue,1811 9210 8800,"Mad Far West, Mad Near West, Fitchburg, Middleton",Mystic
10/3/2018 18:21:10,Litterbug001,Litterbug,368973250707,"Mad Campus, Mad Isthmus, Epic, Verona",Instinct
1/4/2019 22:48:28,Livit,Nessa,6993 3304 1711,"Mad Near West, Epic",Valor
12/6/2018 15:52:11,LKartist,matroskin,2477 2136 4835,Sun Prairie,Mystic
9/1/2018 14:39:31,Lodidodi,Lodidodi,9907 3406 4510,"Mad Far East, Mad Near East, Mad North East, Monona, Stoughton",Mystic
7/1/2018 11:11:40,loner10,Connor Danke,5115 9089 8230,,Valor
10/2/2018 9:56:16,Loopss,Loops,597455496233,"Mad Isthmus, Mad South, Fitchburg",Instinct
2/19/2019 10:41:01,LordBagigi,LordBagigi,6448 1965 0551,"Mad Campus, Mad South",Mystic
10/29/2018 13:58:23,LordOjas,iojas,537783935723,"Mad Campus, Mad Far West",Valor
8/23/2018 10:57:17,LordTrolldemort,LordTrolldemort,17885567788,"Mad Campus, Mad South, Mad Near West",Valor
7/16/2018 17:07:14,LordyMain,LordyMain,1407 2008 5104,"Mad Campus, Mad Isthmus, Mad Near West",Valor
6/27/2018 6:56:08,Luckeyelephelnt,Jessica Miller,2645 7284 2205,"Mad Near East, Mad North East, McFarland, Stoughton",Mystic
7/14/2018 12:59:25,LuckWrangler,LuckWrangler,4952 7673 3380,"Mad Far East, Mad Near East, Monona",Instinct
9/13/2018 8:43:50,LuckWrangler,LuckWrangler,4952 7673 3380,"Mad Far East, Mad Near East, Monona",Instinct
12/30/2018 13:46:47,LukasRugIsCool,Travis Ryan,9588 3777 3467,"Mad Isthmus, Stoughton",Instinct
3/25/2019 12:56:09,LumischHD,Lumisch,5966 3587 7779,Germany Duisburg ,Mystic
6/26/2018 15:03:57,LurkyZ,Zeke,8204 0000 1653,"Mad Campus, Verona, Zoo area",Valor
10/21/2018 16:14:15,Luumiz,Chuck,7680 3133 9387,"Mad Campus, Mad Far East",Mystic
7/26/2018 13:04:22,Luzr10,Georgeabdon,1607 7150 2820,Sun Prairie,Valor
4/13/2019 22:35:44,LynMQY,MonkeyXH,964345527357,"Mad Campus, Mad Isthmus",Mystic
8/26/2018 17:27:31,M0P0KA,Killpain,9341 9099 1493,Waunakee,Instinct
8/23/2018 17:37:58,Madaro,Link#3199,4539 4340 7104,"Mad Far West, Mad Near West, Middleton",Valor
7/11/2018 18:01:16,Madavro,Link#3199,453943407104,"Mad Near West, Middleton",Valor
8/23/2018 17:38:56,Madavro,Link#3199,4539 4340 7104,"Mad Far West, Mad Near West, Middleton",Valor
8/22/2018 15:27:28,Madcityfish ,Madcityfish ,6202 8881 0962,"Mad Campus, Mad Isthmus, Mad Near East, McFarland, Monona",Valor
6/29/2018 6:52:06,MadFibby,MadFibby,4266 4315 0208,Mad Far East,Valor
1/31/2019 7:31:22,Madisconsin,Steve P.,9524 4948 2755,"Mad Campus, Mad Isthmus, Mad Near East, Mad South, Monona",Valor
4/12/2019 19:08:50,Madrocker1 ,Madrocker1 ,9110 9087 2713,Waunakee,Mystic
11/1/2018 16:50:45,Madtim,tinytr03,2419 4247 6845,"Mad Campus, Mad Near East, Mad Far West",Instinct
9/23/2018 18:03:18,Maewynnn,Lakoda,9464 9456 6203,"Mad Far West, Waunakee",Mystic
6/28/2018 5:36:55,MageGrey,MageGrey,792163115083,"Mad Far West, Mad Near West, Epic, Fitchburg, Middleton, Verona",Mystic
6/26/2018 16:45:20,Magnison,Magnison#4050,9854 1945 4418,Janesville,Mystic
12/28/2018 18:47:17,malaclypse723,malaclypse723,7959 2130 1093,Mad Near East,Mystic
4/2/2019 0:03:13,malkieriking,malkieriking#9069,3216 5946 4235,"Epic, Moving from metro Detroit, haven't gotten an apartment yet",Mystic
8/31/2018 20:38:58,Mamanad47,Mamanad47,765510998171,Mad Near West,Instinct
8/25/2018 11:58:21,Mannthedann,Mannthedann,5328 1177 7513,"Mad Far West, Mad Near West, Epic",Mystic
7/16/2018 20:55:27,manny15huh,Manny15huh,3730 4053 5358,"Mad Campus, Mad Isthmus, Mad Near East",Valor
10/7/2018 8:53:18,Manuel ,Madisonveracruz ,724701020817,Mad Near West,Mystic
2/19/2019 10:43:35,MarcoCalrissian,MarcoCalrissian,7067 8433 1894,Mad Campus,Valor
2/15/2019 10:17:13,MarinaSpree,Delia Unson,2523 5812 9008,Mad Near West,Mystic
2/21/2019 14:09:11,MasterGeese,ATHerr44,7921 6629 7684,Sun Prairie,Mystic
8/17/2018 13:32:29,MasterPanda12,Ash_MasterPanda,6561 6238 5720,"Mad Campus, Mad Isthmus, Mad Far West, Mad Near West, Middleton",Valor
8/20/2018 19:13:09,MatoWaKuwa,Jason Smith,0560 7979 3572,"Mad Campus, Mad Far West, Mad Near West",Valor
7/21/2018 10:00:31,MatthewD2009,Ryan Davidson,3095 2824 3850,"Mad South, Mad Far West, Mad Near West, Fitchburg, Middleton, Verona",Valor
9/19/2018 15:29:49,Maxj54,Maxj54 ,3965 4343 1750,Mad Campus,Valor
8/21/2018 16:37:13,mcdoo77,mcdoo77,7197 7476 8209,"Mad South, Mad Far West, Mad Near West, Fitchburg",Mystic
7/28/2018 9:37:40,Meandeye,Meandeye,3852 7235 4015,"Mad Far West, Mad Near West, Fitchburg, Verona",Instinct
8/22/2018 14:11:11,Meanlein07 ,Erik,0438 3261 5131,"Mad South, Mad Far West, Mad Near West, Fitchburg",Mystic
6/26/2018 15:32:49,Medic591,Medic591 (pmdbill),6159 1251 5622,"Mad Far West, Mad Near West, Fitchburg, Middleton, Verona",Mystic
9/23/2018 12:04:55,MeetYourReaper,Reaper #6929,6882 5790 6624,Waterloo,Mystic
8/20/2018 16:00:09,MegaAzumarill,MegaAzumarill,7005 5870 5716,"Mad Far West, Mad Near West, Middleton, Verona",Mystic
10/23/2018 18:11:40,Memelordx69,Netherz,8297 7801 4209,"Mad Campus, Mad Isthmus",Instinct
8/20/2018 19:25:32,Merri24,Merri (on discord),1493 1984 4179,"Fitchburg, Oregon",Mystic
7/31/2018 11:01:47,Mertzasaurusrex,Jessica Mertz,8310 9770 0080,"Mad Campus, Mad Far West, Middleton",Valor
7/26/2018 10:06:17,Meteorfallian,Raikou,1849 7279 0672,"Mad Campus, Mad Near East, Mad Near West",Instinct
7/9/2018 10:21:05,Michellealf,Michellealf,7821 8705 5901,"Mad Far West, Mad Near West, Middleton",Valor
8/30/2018 19:31:48,MidnightZenith,Ed Abul,8387 9452 5295,"Mad Far East, Mad Near East, Sun Prairie",Mystic
10/25/2018 11:50:51,midpenguin ,Midpenguin#1451,1099 4761 6129,"Mad South, Mad Far West, Mad Near West, Fitchburg, Middleton, Verona",Mystic
11/1/2018 20:46:45,MikeRabsitch,MikeRabsitch,373821519114,"Mad Far East, Mad Far West",Instinct
8/20/2018 19:14:35,Milnarmo,jonobst,350904329573,"Mad Far West, Fitchburg, Verona",Valor
3/29/2019 21:56:03,Milyys,Kati Kneequirk,5537 3492 6645,"Mad Far East, Mad North East, Monona",Mystic
8/20/2018 15:48:39,mimarquez20,mimarquez20,5279 2182 1001,Fitchburg,Mystic
6/27/2018 19:16:03,Miraidebbie,Miraidebbie,3371 6304 2182,"Mad Far East, Mad Near East",Mystic
1/6/2019 22:12:42,MissHalestorm,MissHalestorm,2491 6174 1585,"Mad Isthmus, Mad Far East, Mad Near East, Monona",Valor
6/28/2018 15:28:50,Mix33B,Mix33B,3115 4180 5612,"Mad Isthmus, Mad Far East, Mad Near East, Monona",Instinct
7/15/2018 18:12:28,Mjaeger0,Mjaeger0,4159 4084 6804,"Mad Far East, Monona",Instinct
8/22/2018 15:17:12,mjkoss,Михаил89,87586435388,"Cross Plains, Mt. Horeb, Verona, Black Earth",Instinct
8/27/2018 11:33:35,mjohnson7385,Manda JOhnson,8688 6429 8298,"Mad Campus, Sun Prairie",Mystic
9/22/2018 8:32:09,MMalarky,Malarky,2298 7515 7928,"Mad Far East, Mad Near East, Sun Prairie",Mystic
10/27/2018 21:38:11,Moltar03,Moltar03,2293 5638 4659,"Mad Campus, Mad Isthmus",Instinct
8/21/2018 7:51:58,Momthulu,Mimo905,8843 9202 0810,"Mad Campus, Mad Near East, Mad North",Mystic
9/1/2018 17:34:53,MonkaDilly,Jfalk,3954 6965 4958,Mad Far West,Valor
7/9/2018 11:28:36,MonkeyOnWheels,MonkeyOnWheels,5455 2430 2216,Mad Campus,Valor
11/21/2018 10:34:37,MonkeyXHXH,MonkeyX,5131 1724 9105,Mad Campus,Valor
3/9/2019 16:14:42,MonoClonal,MonoClonal,6017 7370 9683,"Mad Campus, Mad Isthmus, Mad Near East, Mad Near West",Instinct
10/21/2018 19:03:41,Monster4554,Monster#6993,8555 1632 1805,"Mad Campus, Mad Isthmus, Mad Far East, Mad Near East, Mad North East, Mad North, Mad South, Mad Far West, Mad Near West, Beloit, Epic, Fitchburg, Middleton, Monona, Waunakee",Instinct
10/3/2018 15:19:52,Mookiecoco98,Mookiecoco98,480439481591,Fitchburg,Valor
9/9/2018 9:06:46,MopHead112358,MopHead,2704 9970 4338,"Mad North East, DeForest / Windsor, Sun Prairie",Mystic
11/20/2018 12:44:03,Morecuss,Marcus Hu,3750 3721 3039,Mad Campus,Instinct
6/30/2018 11:11:25,MorganSwagger,MorganSwagger,4269 2404 2941,"Mad Campus, Mad Near West",Valor
9/9/2018 21:38:40,moruya,moruya,2974 9400 2885,"Mad Campus, Mad Isthmus, Mad South",Instinct
2/4/2019 16:37:47,Mowzerkitty,mowzer#2007,866687873300,"Mad Campus, Middleton",Mystic
8/25/2018 13:36:10,MrMcMan,MrMcMansALot,1986 5655 4947,Mad Isthmus,Valor
9/16/2018 21:10:35,Mrsverstegen,shanaUW,6499 6554 2327,"Mad Near West, Fitchburg, Middleton",Valor
6/28/2018 16:20:20,MrVeryCoolPTC,MrVeryCoolPTC,429767058082,Mad Near West,Valor
6/28/2018 15:10:18,Musca0Domestica,MuscaDomestica,2109 0752 0813,"Mad Campus, Mad Isthmus",Mystic
1/5/2019 10:49:00,musicmd1,musidmd,1559 3980 5710,"Mad Far West, Mad Near West, Middleton",Valor
3/18/2019 8:59:18,MzHeadHonchkrow,Ms_GitRDun(Discord) Sara James (Facebook),841096851698,"Mad South, Fitchburg, Verona",Instinct
4/15/2019 8:40:36,MzHeadHonchkrow,Sara James,8410 9685 1698,Fitchburg,Instinct
12/15/2018 15:13:44,N3rdSl4y3r,N3rdSl4y3r,880846709424,"Mad Far West, Mad Near West, Mt. Horeb",Instinct
8/21/2018 16:11:20,N41ren,N41ren,200656819228,"Mad Campus, Mad Isthmus, Mad Near East, Mad North East, Monona",Mystic
9/15/2018 13:29:02,NachoChz28,NachoChz,353327211457,"Mad Isthmus, Mad Far East, Mad Near East",Valor
9/11/2018 15:19:42,Naphthalene127,Naphthalene127,3006 4421 4675,Mad Campus,Mystic
12/29/2018 21:50:12,Nappysteph,Stephanie Walsh ,1901 1024 4327,"Mad Campus, Mad Isthmus, Oregon",Mystic
8/10/2018 17:04:58,Nerolux42,Nerolux#2424,5685 9165 8265,Fitchburg,Instinct
11/13/2018 11:44:16,Nestorino,Ferroso,2192 2164 5036,Mad Near West,Instinct
8/27/2018 15:15:44,Newbs07,Noobs07,0078 9844 7083,"Mad Campus, Mad Far West, Middleton",Instinct
7/5/2018 18:38:20,Nightengrrl,Discord: katydid. Facebook: badgera p. Madisonia,8327 4874 4750,"Mad Campus, Mad Far West",Mystic
6/27/2018 6:53:47,Nikekinkers ,Nicholas miller,4774 3899 7891,"Mad Near East, McFarland",Mystic
2/15/2019 8:57:17,Nikenji,Nik garvoille,1547 3939 7592,"Mad Campus, Mad Isthmus, Middleton, Minneapolis (during school year)",Valor
6/26/2018 20:53:21,Ninja1tru,Michelle w ,996165001086,"Mad Far East, DeForest / Windsor, Sun Prairie, Waunakee",Valor
9/19/2018 15:49:52,nitroglycER1N,NitroglycER1N,4069-1033-3298,"Mad Campus, Mad Isthmus, Mad South, Fitchburg",Instinct
8/29/2018 1:37:08,Njip,Benji,3040 9976 3681,"Mad Isthmus, Mad Far East, Mad Near East",Valor
7/27/2018 14:59:20,Njz5,Dermis,5894 9527 1534,"Mad Campus, Mad Isthmus",Mystic
12/30/2018 10:20:08,No0binrange57,Gerry Vaughan,7446 6564 3064,Mad Far West,Mystic
11/27/2018 9:14:54,NomadicPeach,Krista martinez,6770 8445 7449,"Mad Isthmus, Mad Near East, Travel for work. Lots of far flung mons",Instinct
10/21/2018 19:45:01,nookkin,nookkin,1646 9416 0204,"Mad Campus, Mad Isthmus, Mad Far West, Mad Near West, Epic, Fitchburg, Middleton, Verona",Mystic
8/21/2018 8:56:25,notavapor,LateNitePhil,6365 9726 4127,"Epic, Verona",Mystic
9/22/2018 9:28:09,NR6314,Nick Ramakrishnana,852242430174,"Epic, Verona",Mystic
11/24/2018 6:58:15,Nucleonzhu ,N/A,148541212780,"Mad Far West, Mad Near West, Middleton",Valor
9/21/2018 11:39:49,Oathkeeper91,Oath,7949 5152 0477,"Epic, Middleton, Verona",Valor
